source,target,weight
08693322949,08693322950,572
08693322949,08693322972,166
08693322949,08693328082,664
08693322950,08693322972,190
08693322950,08693328082,610
08693322951,08693322972,131
08693322972,08693325985,111
08693322972,08693326810,142
08693322972,08693328082,223
08693322972,08693329561,125
08693322972,08693329624,119
08693322972,08693329972,135
08693322997,08693325832,145
08693322997,08693325833,114
08693322997,08693325836,155
08693322997,08693326810,165
08693322997,08693328883,155
08693322997,08693328885,103
08693322997,08693328886,124
08693322997,08693329972,127
08693324420,08693324421,185
08693324420,08693324422,212
08693324420,08693324423,161
08693324421,08693324422,130
08693324421,08693324423,105
08693325062,08693326810,132
08693325062,08693329972,106
08693325427,08693325428,236
08693325564,08693326810,210
08693325564,08693328839,108
08693325564,08693329561,160
08693325564,08693329935,301
08693325564,08693329972,170
08693325564,08693330070,126
08693325564,08693330265,140
08693325732,08693326810,171
08693325732,08693327975,146
08693325732,08693327989,107
08693325732,08693328839,115
08693325732,08693329561,171
08693325732,08693329972,163
08693325732,08693330070,211
08693325749,08693327622,134
08693325832,08693325833,279
08693325832,08693325834,294
08693325832,08693325835,263
08693325832,08693325836,236
08693325832,08693327934,148
08693325832,08693328883,365
08693325832,08693328884,138
08693325832,08693328885,134
08693325832,08693328886,548
08693325832,08693330155,298
08693325833,08693325834,180
08693325833,08693325835,262
08693325833,08693325836,198
08693325833,08693327934,141
08693325833,08693328883,150
08693325833,08693328884,571
08693325833,08693328886,182
08693325833,08693330155,218
08693325834,08693325835,151
08693325834,08693325836,308
08693325834,08693327934,123
08693325834,08693328883,347
08693325834,08693328885,173
08693325834,08693328886,217
08693325834,08693330155,195
08693325835,08693325836,122
08693325835,08693328883,132
08693325835,08693328884,177
08693325835,08693328886,153
08693325836,08693327934,179
08693325836,08693328883,237
08693325836,08693328885,884
08693325836,08693328886,248
08693325836,08693330155,329
08693325982,08693325985,102
08693325982,08693329532,121
08693325985,08693326810,210
08693325985,08693327622,125
08693325985,08693328214,109
08693325985,08693328555,143
08693325985,08693329532,126
08693325985,08693329561,125
08693325985,08693329972,103
08693326810,08693327367,118
08693326810,08693327445,107
08693326810,08693327583,118
08693326810,08693327622,130
08693326810,08693327806,198
08693326810,08693327807,126
08693326810,08693327894,175
08693326810,08693327975,191
08693326810,08693327989,219
08693326810,08693328191,120
08693326810,08693328555,145
08693326810,08693328592,139
08693326810,08693328809,167
08693326810,08693328839,229
08693326810,08693328850,155
08693326810,08693329532,120
08693326810,08693329561,321
08693326810,08693329935,107
08693326810,08693329972,751
08693326810,08693330070,164
08693326810,08693330111,168
08693326810,08693330264,123
08693326810,08693330265,173
08693326810,08693330267,147
08693326810,08693330274,105
08693327112,08693327113,172
08693327583,08693329972,124
08693327741,08693329532,104
08693327806,08693327807,127
08693327806,08693329972,133
08693327894,08693327895,198
08693327894,08693329561,113
08693327894,08693329972,183
08693327894,08693330070,117
08693327934,08693328883,159
08693327934,08693328885,134
08693327934,08693328886,168
08693327975,08693328839,150
08693327975,08693329561,169
08693327975,08693329972,212
08693327975,08693330070,173
08693327989,08693328850,175
08693327989,08693329561,116
08693328191,08693329333,104
08693328555,08693328600,110
08693328555,08693329561,108
08693328555,08693329790,165
08693328555,08693329972,153
08693328555,08693330111,181
08693328579,08693328580,105
08693328592,08693330111,164
08693328837,08693328838,124
08693328839,08693328850,118
08693328839,08693329561,313
08693328839,08693329972,301
08693328839,08693330070,187
08693328839,08693330265,123
08693328839,08693330267,106
08693328839,08693330942,108
08693328850,08693329561,163
08693328850,08693329972,144
08693328850,08693330070,162
08693328883,08693328884,119
08693328883,08693328885,169
08693328883,08693328886,210
08693328883,08693330155,278
08693328884,08693328885,102
08693328884,08693328886,132
08693328884,08693330155,202
08693328885,08693328886,201
08693328885,08693330155,277
08693328886,08693330155,283
08693329333,08693329335,101
08693329403,08693329404,129
08693329403,08693329405,127
08693329403,08693329406,105
08693329404,08693329405,104
08693329404,08693329406,153
08693329505,08693329506,123
08693329505,08693330801,135
08693329506,08693330205,220
08693329506,08693330206,169
08693329506,08699324495,311
08693329561,08693329972,320
08693329561,08693330070,235
08693329561,08693330265,113
08693329790,08693330111,135
08693329972,08693330070,281
08693329972,08693330111,131
08693329972,08693330130,108
08693329972,08693330265,126
08693329972,08693330267,130
08693329972,08693330942,112
08693330133,08693330134,119
08693330202,08693330203,153
08693330205,08693330206,414
08693330205,08693330210,118
08693330205,08699324495,165
08693330206,08699324495,150
08693330207,08693330208,155
08693330264,08693330265,286
08693330264,08693330266,283
08693330264,08693330267,248
08693330265,08693330266,249
08693330265,08693330267,377
08693330266,08693330267,241
